ชื่อ,รหัส 9 หลักใหม่,รหัส 9 หลัก,รหัส 5 หลัก,เลขอนุญาตให้ประกอบสถานบริการสุขภาพ 11 หลัก,ประเภทองค์กร,ประเภทหน่วยบริการสุขภาพ,สังกัด,แผนก/กรม,ระดับโรงพยาบาล,เตียงที่ใช้จริง,สถานะการใช้งาน,เขตบริการ,health_region_id,ที่อยู่,code,จังหวัด,รหัสอำเภอ,อำเภอ/เขต,รหัสตำบล,ตำบล/แขวง,หมู่,รหัสไปรษณีย์,แม่ข่าย,วันที่ก่อตั้ง,วันที่ปิดบริการ,อัพเดตล่าสุด(เริ่ม 05/09/2566)
โรงพยาบาลเกษตรวิสัย,EA0011061,1106100,11061,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,157,กำลังใช้งาน,เขตสุขภาพที่ 7,7,2 ถ.หน้ารพ.,45,ร้อยเอ็ด,4502,เกษตรวิสัย,450201,เกษตรวิสัย,10,45150,,,,28/8/2025
โรงพยาบาลพนมไพร,EA0011065,1106500,11065,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,162,กำลังใช้งาน,เขตสุขภาพที่ 7,7,170,45,ร้อยเอ็ด,4506,พนมไพร,450601,พนมไพร,3,45140,,,,28/8/2025
โรงพยาบาลจังหาร,EA0011076,1107600,11076,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,35,กำลังใช้งาน,เขตสุขภาพที่ 7,7,159,45,ร้อยเอ็ด,4517,จังหาร,451704,จังหาร,3,45000,,,,19/3/2024
โรงพยาบาลปทุมรัตต์,EA0011062,1106200,11062,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,33,กำลังใช้งาน,เขตสุขภาพที่ 7,7,44,45,ร้อยเอ็ด,4503,ปทุมรัตต์,450301,บัวแดง,9,45190,,,,28/8/2025
โรงพยาบาลเมยวดี,EA0011074,1107400,11074,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,33,กำลังใช้งาน,เขตสุขภาพที่ 7,7,100,45,ร้อยเอ็ด,4515,เมยวดี,451501,เมยวดี,6,45250,,,,28/8/2025
โรงพยาบาลศรีสมเด็จ,EA0011075,1107500,11075,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,37,กำลังใช้งาน,เขตสุขภาพที่ 7,7,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,45,ร้อยเอ็ด,4516,ศรีสมเด็จ,451602,ศรีสมเด็จ,3,45000,,,,19/3/2024
โรงพยาบาลอาจสามารถ,EA0011073,1107300,11073,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,39,กำลังใช้งาน,เขตสุขภาพที่ 7,7,7 ถ.รณชัยชาญยุทธ,45,ร้อยเอ็ด,4514,อาจสามารถ,451401,อาจสามารถ,7,45160,,,,19/3/2024
โรงพยาบาลเชียงขวัญ,EA0027989,2798900,27989,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,10,กำลังใช้งาน,เขตสุขภาพที่ 7,7,199,45,ร้อยเอ็ด,4518,เชียงขวัญ,451803,พระธาตุ,2,45000,,1/5/2013,,31/8/2025
โรงพยาบาลทุ่งเขาหลวง,EA0027988,2798800,27988,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,14,กำลังใช้งาน,เขตสุขภาพที่ 7,7,201,45,ร้อยเอ็ด,4520,ทุ่งเขาหลวง,452001,ทุ่งเขาหลวง,7,45170,,1/5/2013,,31/8/2025
โรงพยาบาลหนองฮี,EA0027990,2799000,27990,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,28,กำลังใช้งาน,เขตสุขภาพที่ 7,7,120,45,ร้อยเอ็ด,4519,หนองฮี,451901,หนองฮี,10,45140,,1/5/2013,,15/11/2024
โรงพยาบาลนครพนม,EA0010711,1071100,10711,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,392,กำลังใช้งาน,เขตสุขภาพที่ 8,8,270 ถ.อภิบาลบัญชา,48,นครพนม,4801,เมืองนครพนม,480101,ในเมือง,0,48000,,,,19/3/2024
โรงพยาบาลสมเด็จพระยุพราชธาตุพนม,EA0011451,1145100,11451,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,197,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,48,นครพนม,4805,ธาตุพนม,480501,ธาตุพนม,7,,,,,31/8/2025
โรงพยาบาลศรีสงคราม,EA0011110,1111000,11110,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,114,กำลังใช้งาน,เขตสุขภาพที่ 8,8,ถ.ศรีสงคราม-ท่าดอกแก้ว,48,นครพนม,4808,ศรีสงคราม,480801,ศรีสงคราม,1,48150,,,,28/8/2025
โรงพยาบาลนาทม,EA0011107,1110700,11107,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,36,กำลังใช้งาน,เขตสุขภาพที่ 8,8,101,48,นครพนม,4811,นาทม,481103,ดอนเตย,4,48140,,,,6/12/2023
โรงพยาบาลนาหว้า,EA0011111,1111100,11111,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,48,กำลังใช้งาน,เขตสุขภาพที่ 8,8,121 ถ.สุดใจ,48,นครพนม,4809,นาหว้า,480901,นาหว้า,5,48180,,,,19/3/2024
โรงพยาบาลหนองพอก,EA0011068,1106800,11068,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 7,7,140 ถ.ทรงบาดาล,45,ร้อยเอ็ด,4509,หนองพอก,450901,หนองพอก,1,45210,,,,19/3/2024
โรงพยาบาลท่าอุเทน,EA0011105,1110500,11105,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,55,กำลังใช้งาน,เขตสุขภาพที่ 8,8,23/23 ถ.ท่าอุเทน-นครพนม,48,นครพนม,4803,ท่าอุเทน,480302,โนนตาล,6,48120,,,,28/8/2025
โรงพยาบาลเสลภูมิ,EA0011069,1106900,11069,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,125,กำลังใช้งาน,เขตสุขภาพที่ 7,7,279,45,ร้อยเอ็ด,4510,เสลภูมิ,451017,ขวัญเมือง,7,45120,,,,28/8/2025
โรงพยาบาลธวัชบุรี,EA0011064,1106400,11064,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,38,กำลังใช้งาน,เขตสุขภาพที่ 7,7,172 ถ.ร้อยเอ็ด-โพนทอง,45,ร้อยเอ็ด,4505,ธวัชบุรี,450504,ธวัชบุรี,3,45170,,,,19/3/2024
โรงพยาบาลเมืองสรวง,EA0011071,1107100,11071,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,33,กำลังใช้งาน,เขตสุขภาพที่ 7,7,231 ถ.ร้อยเอ็ด-สุวรรณภูมิ,45,ร้อยเอ็ด,4512,เมืองสรวง,451201,หนองผือ,4,45220,,,,6/12/2023
โรงพยาบาลโพธิ์ชัย,EA0011067,1106700,11067,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 7,7,185 ถ.จรจำรูญ,45,ร้อยเอ็ด,4508,โพธิ์ชัย,450801,ขามเปี้ย,2,45230,,,,6/12/2023
โรงพยาบาลปลาปาก,EA0011104,1110400,11104,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 8,8,120,48,นครพนม,4802,ปลาปาก,480201,ปลาปาก,2,48120,,,,28/8/2025
โรงพยาบาลวังยาง,EA0040840,4084000,40840,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,20,กำลังใช้งาน,เขตสุขภาพที่ 8,8,334,48,นครพนม,4812,วังยาง,481201,วังยาง,1,48130,,3/11/2014,,6/12/2023
โรงพยาบาลบึงกาฬ,EA0011040,1104000,11040,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,272,กำลังใช้งาน,เขตสุขภาพที่ 8,8,255,38,บึงกาฬ,3801,เมืองบึงกาฬ,380101,บึงกาฬ,1,,,,,28/8/2025
โรงพยาบาลเซกา,EA0011046,1104600,11046,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,157,กำลังใช้งาน,เขตสุขภาพที่ 8,8,62,38,บึงกาฬ,3804,เซกา,380401,เซกา,1,43150,,,,28/8/2025
โรงพยาบาลโซ่พิสัย,EA0011043,1104300,11043,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,73,กำลังใช้งาน,เขตสุขภาพที่ 8,8,143,38,บึงกาฬ,3803,โซ่พิสัย,380301,โซ่,2,,,,,19/3/2024
โรงพยาบาลบึงโขงหลง,EA0011048,1104800,11048,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,45,กำลังใช้งาน,เขตสุขภาพที่ 8,8,428,38,บึงกาฬ,3806,บึงโขงหลง,380601,บึงโขงหลง,11,,,,,28/8/2025
โรงพยาบาลปากคาด,EA0011047,1104700,11047,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,41,กำลังใช้งาน,เขตสุขภาพที่ 8,8,106,38,บึงกาฬ,3805,ปากคาด,380504,โนนศิลา,4,,,,,19/3/2024
โรงพยาบาลพรเจริญ,EA0011041,1104100,11041,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,37,กำลังใช้งาน,เขตสุขภาพที่ 8,8,1,38,บึงกาฬ,3802,พรเจริญ,380203,พรเจริญ,8,,,,,6/12/2023
โรงพยาบาลศรีวิไล,EA0011049,1104900,11049,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,38,กำลังใช้งาน,เขตสุขภาพที่ 8,8,300,38,บึงกาฬ,3807,ศรีวิไล,380701,ศรีวิไล,11,,,,,6/12/2023
โรงพยาบาลบุ่งคล้า,EA0011050,1105000,11050,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,32,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,38,บึงกาฬ,3808,บุ่งคล้า,380801,บุ่งคล้า,2,,,,,6/12/2023
โรงพยาบาลเลย,EA0010705,1070500,10705,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,548,กำลังใช้งาน,เขตสุขภาพที่ 8,8,32/1 ถ.มลิวรรณ,42,เลย,4201,เมืองเลย,420101,กุดป่อง,1,42000,,,,27/8/2025
โรงพยาบาลวังสะพุง,EA0011036,1103600,11036,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,120,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,42,เลย,4209,วังสะพุง,420901,วังสะพุง,3,42130,,,,19/3/2024
โรงพยาบาลสมเด็จพระยุพราชด่านซ้าย,EA0011447,1144700,11447,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,60,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,42,เลย,4205,ด่านซ้าย,420501,ด่านซ้าย,3,42120,,,,6/12/2023
โรงพยาบาลเชียงคาน,EA0011031,1103100,11031,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,59,กำลังใช้งาน,เขตสุขภาพที่ 8,8,427 ถ.เชียงคาน - ปากชม,42,เลย,4203,เชียงคาน,420301,เชียงคาน,2,42110,,,,15/11/2024
โรงพยาบาลท่าลี่,EA0011035,1103500,11035,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,35,กำลังใช้งาน,เขตสุขภาพที่ 8,8,52,42,เลย,4208,ท่าลี่,420801,ท่าลี่,1,42140,,,,19/3/2024
โรงพยาบาลนาด้วง,EA0011030,1103000,11030,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 8,8,155,42,เลย,4202,นาด้วง,420201,นาด้วง,6,42210,,,,19/3/2024
โรงพยาบาลปากชม,EA0011032,1103200,11032,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,34,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,42,เลย,4204,ปากชม,420401,ปากชม,1,42150,,,,6/12/2023
โรงพยาบาลเรณูนคร,EA0011108,1110800,11108,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,39,กำลังใช้งาน,เขตสุขภาพที่ 8,8,91/2,48,นครพนม,4806,เรณูนคร,480602,โพนทอง,9,47170,,,,28/8/2025
โรงพยาบาลโพนสวรรค์,EA0011112,1111200,11112,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,50,กำลังใช้งาน,เขตสุขภาพที่ 8,8,276 ถ.ท่าอุเทน-กุสุมาลย์,48,นครพนม,4810,โพนสวรรค์,481001,โพนสวรรค์,5,48190,,,,19/3/2024
โรงพยาบาลผาขาว,EA0011039,1103900,11039,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 8,8,155,42,เลย,4212,ผาขาว,421203,โนนปอแดง,8,42240,,,,6/12/2023
โรงพยาบาลภูกระดึง,EA0011037,1103700,11037,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,32,กำลังใช้งาน,เขตสุขภาพที่ 8,8,149,42,เลย,4210,ภูกระดึง,421007,ภูกระดึง,8,42180,,,,19/3/2024
โรงพยาบาลภูเรือ,EA0011034,1103400,11034,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 8,8,ถ.เลย-หล่มสัก,42,เลย,4207,ภูเรือ,420701,หนองบัว,6,42160,,,,19/3/2024
โรงพยาบาลภูหลวง,EA0011038,1103800,11038,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,42,เลย,4211,ภูหลวง,421102,หนองคัน,3,42230,,,,19/3/2024
โรงพยาบาลหนองหิน,EA0028861,2886100,28861,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,42,เลย,4214,หนองหิน,421401,หนองหิน,0,42190,,2/5/2014,,19/3/2024
โรงพยาบาลเอราวัณ,EA0014133,1413300,14133,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,32,กำลังใช้งาน,เขตสุขภาพที่ 8,8,692 ถ.เลย-อุดร,42,เลย,4213,เอราวัณ,421302,ผาอินทร์แปลง,3,42220,,,,19/3/2024
โรงพยาบาลนาแห้ว,EA0011033,1103300,11033,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,20,กำลังใช้งาน,เขตสุขภาพที่ 8,8,80 ถ.ด่านซ้าย - นาแห้ว,42,เลย,4206,นาแห้ว,420601,นาแห้ว,5,42170,,,,19/3/2024
โรงพยาบาลสกลนคร,EA0010710,1071000,10710,,รัฐบาล,โรงพยาบาลศูนย์,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,A - โรงพยาบาลศูนย์,907,กำลังใช้งาน,เขตสุขภาพที่ 8,8,1041 ถ.เจริญเมือง,47,สกลนคร,4701,เมืองสกลนคร,470101,ธาตุเชิงชุม,0,47000,,,,19/3/2024
โรงพยาบาลวานรนิวาส,EA0011095,1109500,11095,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M1 - โรงพยาบาลทั่วไปขนาดเล็ก,264,กำลังใช้งาน,เขตสุขภาพที่ 8,8,1,47,สกลนคร,4708,วานรนิวาส,470812,คอนสวรรค์,9,47120,,,,19/3/2024
โรงพยาบาลสมเด็จพระยุพราชสว่างแดนดิน,EA0011450,1145000,11450,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,276,กำลังใช้งาน,เขตสุขภาพที่ 8,8,291 ถ.ภูมิภักดี,47,สกลนคร,4712,สว่างแดนดิน,471201,สว่างแดนดิน,11,47110,,,,19/3/2024
โรงพยาบาลพังโคน,EA0011092,1109200,11092,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,120,กำลังใช้งาน,เขตสุขภาพที่ 8,8,188,47,สกลนคร,4705,พังโคน,470501,พังโคน,9,47160,,,,28/8/2025
โรงพยาบาลอากาศอำนวย,EA0011098,1109800,11098,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,90,กำลังใช้งาน,เขตสุขภาพที่ 8,8,386,47,สกลนคร,4711,อากาศอำนวย,471101,อากาศ,3,47170,,,,28/8/2025
โรงพยาบาลกุดบาก,EA0011090,1109000,11090,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,39,กำลังใช้งาน,เขตสุขภาพที่ 8,8,249 ถ.เจริญราฎร์,47,สกลนคร,4703,กุดบาก,470301,กุดบาก,1,47180,,,,6/12/2023
โรงพยาบาลกุสุมาลย์,EA0011089,1108900,11089,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 8,8,ถ.สกลนคร-นครพนม,47,สกลนคร,4702,กุสุมาลย์,470202,นาโพธิ์,11,47210,,,,28/8/2025
โรงพยาบาลคำตากล้า,EA0011096,1109600,11096,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 8,8,80,47,สกลนคร,4709,คำตากล้า,470901,คำตากล้า,11,47250,,,,19/3/2024
โรงพยาบาลโคกศรีสุพรรณ,EA0011101,1110100,11101,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,42,กำลังใช้งาน,เขตสุขภาพที่ 8,8,76 ถ.สกล-นาแก,47,สกลนคร,4715,โคกศรีสุพรรณ,471501,ตองโขบ,8,,,,,6/12/2023
โรงพยาบาลเจริญศิลป์,EA0011102,1110200,11102,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 8,8,374,47,สกลนคร,4716,เจริญศิลป์,471602,เจริญศิลป์,2,47290,,,,28/8/2025
โรงพยาบาลเต่างอย,EA0011100,1110000,11100,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,35,กำลังใช้งาน,เขตสุขภาพที่ 8,8,80,47,สกลนคร,4714,เต่างอย,471401,เต่างอย,6,47260,,,,19/3/2024
โรงพยาบาลพระอาจารย์แบน  ธนากโร,EA0021323,2132300,21323,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 8,8,288 ถ.สกลนคร-กาฬสินธุ์,47,สกลนคร,4718,ภูพาน,471803,โคกภู,0,47180,,,,6/12/2023
โรงพยาบาลพระอาจารย์ฝั้นอาจาโร,EA0011091,1109100,11091,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,90,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,47,สกลนคร,4704,พรรณานิคม,470401,พรรณา,10,47130,,,,26/12/2023
โรงพยาบาลโพนนาแก้ว,EA0011103,1110300,11103,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,34,กำลังใช้งาน,เขตสุขภาพที่ 8,8,196,47,สกลนคร,4717,โพนนาแก้ว,471702,นาแก้ว,10,47230,,,,6/12/2023
โรงพยาบาลวาริชภูมิ,EA0011093,1109300,11093,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,36,กำลังใช้งาน,เขตสุขภาพที่ 8,8,83,47,สกลนคร,4706,วาริชภูมิ,470601,วาริชภูมิ,13,47150,,,,28/8/2025
โรงพยาบาลพระอาจารย์วัน อุตฺตโม,EA0011099,1109900,11099,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,38,กำลังใช้งาน,เขตสุขภาพที่ 8,8,87,47,สกลนคร,4713,ส่องดาว,471301,ส่องดาว,9,,,,,7/5/2024
โรงพยาบาลนิคมน้ำอูน,EA0011094,1109400,11094,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,15,กำลังใช้งาน,เขตสุขภาพที่ 8,8,64,47,สกลนคร,4707,นิคมน้ำอูน,470702,หนองปลิง,5,47270,,,,6/12/2023
โรงพยาบาลหนองคาย,EA0010706,1070600,10706,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,420,กำลังใช้งาน,เขตสุขภาพที่ 8,8,1158,43,หนองคาย,4301,เมืองหนองคาย,430101,ในเมือง,3,43000,,,,6/12/2023
